repo_name,push_events,total_commits,total_stars,ghost_score,language,description,created_at,distinct_pushers,active_months,is_fork,has_license,html_url,topics
kpnsec/iplist,1650819,1378537,0,1650819.0,,Source EDL IP List,2023-11-02,1,12,False,False,https://github.com/kpnsec/iplist,
waqar0345/Sid,1201933,1002611,0,1201933.0,,,2024-04-27,1,12,False,False,https://github.com/waqar0345/Sid,
anubiswb/api1,976103,976093,0,976103.0,HTML,api1,2024-03-31,1,6,False,False,https://github.com/anubiswb/api11,
frdpzk3/ppub,960682,960682,0,960682.0,,,2024-12-31,1,4,False,False,https://github.com/frdpzk3/ppub,
tigerbeetle/devhubdb,851171,582890,6,942509.6,,,2024-01-22,4,12,False,False,https://github.com/tigerbeetle/devhubdb,
cdnjs/logs,1030448,1030447,13,876163.3,,📃 Package logs - The #1 free and open source CDN built to make life easier for developers. ,2020-07-29,2,9,False,True,https://github.com/cdnjs/logs,
wusiuyu/hknews,392761,308087,1,823189.1,,,2024-06-21,1,12,False,False,https://github.com/wusiuyu/hknews,
donaldsouza/current-date,363899,303723,1,762697.1,,,2020-02-13,1,12,False,False,https://github.com/donaldsouza/current-date,
Risk-DAO/simulation-results,712120,680742,0,712120.0,,,2022-10-02,1,12,False,True,https://github.com/Risk-DAO/simulation-results,
1992513/djy,493057,353499,3,705405.1,,,2022-12-30,2,10,False,False,https://github.com/1992513/djy,
davidfue/RIF-Layoff-Dataset,415574,294094,2,690253.5,,Schema and records for RIF Tracking,2025-04-19,1,8,False,True,https://github.com/davidfue/RIF-Layoff-Dataset,
daniel7grant/time,323245,266434,1,677490.3,Shell,,2024-03-09,1,12,False,False,https://github.com/daniel7grant/time,
sidarthus89/EVE-Data-Site,653020,181210,0,653020.0,JavaScript,,2025-09-06,1,4,False,True,https://github.com/sidarthus89/EVE-Data-Site,
sidarthus89/EVE-Data-Site-Dev,643623,178098,0,643623.0,HTML,,2025-09-06,1,4,False,False,https://github.com/sidarthus89/EVE-Data-Site-Dev,
milesholt/autotrade1,302090,302090,1,633151.4,JavaScript,Auto trading app using IG api,2020-03-15,1,8,False,False,https://github.com/milesholt/autotrade1,
HughODwyer90/hugh.casa,617574,551385,0,617574.0,HTML,,2024-12-24,1,12,False,False,https://github.com/HughODwyer90/hugh.casa,
APKs-dl/RenGO,606447,510075,0,606447.0,,,2024-05-27,1,12,False,False,https://github.com/APKs-dl/RenGO,
ruef/ass,508686,399271,0,508686.0,Dockerfile,,2024-12-16,1,8,False,False,https://github.com/ruef/ass,auto; auto-commit; fill-contributions; github-actions
Damirinho9/New-repository,238321,238321,1,499497.8,HTML,,2024-08-22,1,9,False,False,https://github.com/Damirinho9/New-repository,
aliahmt83/.-solitary.,491702,303721,0,491702.0,,,2023-03-05,1,12,False,False,https://github.com/aliahmt83/.-solitary.,
vpnsuperapp/fast,231012,195448,1,484178.8,,Hello,2023-11-02,1,12,False,True,https://github.com/vpnsuperapp/fast,n
mario-97/proyecto-cripto-data,468168,263835,0,468168.0,,"Save data criptos for ""project-website-cripto""",2025-07-15,1,6,False,False,https://github.com/mario-97/proyecto-cripto-data,
xiaoandy1974g/gdl,466660,243081,0,466660.0,,,2025-08-14,1,5,False,False,https://github.com/xiaoandy1974g/gdl,
traosn/ServerHealthStatus,464222,276588,0,464222.0,HTML,To hold Server Health Statistics to be upload via PowerShell script.,2025-08-11,1,4,False,False,https://github.com/traosn/ServerHealthStatus,
Lesleybs2/datateam_zones,455493,397914,0,455493.0,,"NOTE THIS IS PUBLIC DONT POST ANYTHING PRIVATE IN HERE, ITS ON PURPOUSE",2024-12-06,1,12,False,False,https://github.com/Lesleybs2/datateam_zones,
absgeoviz/sicada,213685,164757,1,447863.1,HTML,predikSI cuaCA aDAro,2024-10-01,1,12,False,False,https://github.com/absgeoviz/sicada,
hobakpi/Pi-Monitor,432680,25475,0,432680.0,,,2025-08-28,1,4,False,False,https://github.com/hobakpi/Pi-Monitor,
marcgoebel/Finanzanalyse-projekt,204399,156477,1,428400.5,Python,,2025-03-09,1,9,False,False,https://github.com/marcgoebel/Finanzanalyse-projekt,
pmrappelet/Demo,203964,201307,1,427488.8,,,2022-06-23,1,12,False,False,https://github.com/pmrappelet/Demo,
bugbounted/auto-commit,457602,391308,13,389087.2,,"🌳 Making green your Github stats, powered by Github Actions",2023-07-19,1,12,False,True,https://github.com/bugbounted/auto-commit,
Elunard/GTScript,385829,287432,0,385829.0,DIGITAL Command Language,,2024-10-01,1,12,False,False,https://github.com/Elunard/GTScript,
LaTribuWeb3/risk-data-repo,382556,382556,0,382556.0,,,2023-12-18,1,8,False,False,https://github.com/LaTribuWeb3/risk-data-repo,
1992513/ntdtv,406380,308063,10,376563.3,,,2022-12-30,2,10,False,False,https://github.com/1992513/ntdtv,
globalimagess/nvperp,374879,284625,0,374879.0,,,2024-09-19,1,12,False,False,https://github.com/globalimagess/nvperp,
RaglemL/target,369488,307811,0,369488.0,Shell,Automate GCP tasks for data migrations.,2024-02-28,1,12,False,False,https://github.com/RaglemL/target,
alexTvirus/bookmark_title,369241,307600,0,369241.0,,,2024-03-28,1,12,False,False,https://github.com/alexTvirus/bookmark_title,
RaglemL/source,368841,307794,0,368841.0,Shell,Automate GCP tasks for data migrations.,2024-02-28,1,12,False,False,https://github.com/RaglemL/source,
Vsonneveld/foroxity-genres,361386,300303,0,361386.0,,,2023-04-09,1,12,False,False,https://github.com/Vsonneveld/foroxity-genres,
Alhasan-softwear/simple,350296,293136,0,350296.0,,,2024-07-16,1,12,False,False,https://github.com/Alhasan-softwear/simple,
jmp1016/cm_eps,349221,291869,0,349221.0,,,2024-07-22,1,12,False,False,https://github.com/jmp1016/cm_eps,
devpoole2907/helldivers-api-cache,162380,158621,1,340332.8,,For caching data from the Helldivers 2 api for War Monitor for Helldivers 2,2024-03-17,2,12,False,False,https://github.com/devpoole2907/helldivers-api-cache,
supermobiteam2/Tizi,338002,338001,0,338002.0,Roff,FIRST,2025-08-11,1,8,False,False,https://github.com/supermobiteam2/Tizi,
cjchandler/last_update_repo,161239,121360,1,337941.3,Python,last update for lots for projects. used in alarm script on python anywhere,2024-12-16,1,12,False,False,https://github.com/cjchandler/last_update_repo,
Chroiud/playercount,323929,323929,0,323929.0,,,2024-06-28,1,5,False,False,https://github.com/Chroiud/playercount,
feedarchive/libera-newsbot-live,249818,221079,5,295608.3,,Live posts of NewsBot on Libera.Chat,2020-06-18,1,12,False,False,https://github.com/feedarchive/libera-newsbot-live,
yuuk-64-gi-0/unofficial_LiveSchedule_Data,140951,140998,1,295419.7,,,2023-11-14,1,5,False,False,https://github.com/yuuk-64-gi-0/unofficial_LiveSchedule_Data,
ucla-physicalsciences/cta-psct.physics.ucla.edu,176200,146119,2,292661.9,HTML,,2022-12-22,1,12,False,False,https://github.com/ucla-physicalsciences/cta-psct.physics.ucla.edu,
nrwall/flights,135391,78980,1,283766.4,,Delta Flights San Antonio,2024-07-18,1,7,False,False,https://github.com/nrwall/flights,
rah-nejat/Azadi,276227,106994,0,276227.0,JavaScript,,2024-07-04,1,7,False,False,https://github.com/rah-nejat/Azadi,
MaybeNotWrong/lc-sep,128276,111936,1,268854.1,,,2021-01-18,1,12,False,False,https://github.com/MaybeNotWrong/lc-sep,
Hannahejacruw3/DeFiSecurityAuditor,202528,197008,4,260268.2,,SmartContractScanner is an automated tool for scanning smart contracts on a wide range of DeFi platforms,2024-12-31,1,10,False,True,https://github.com/Hannahejacruw3/DeFiSecurityAuditor,airdrops-searcher; blockchain; blockchain-explorer; defi; ethereum; nfts; scaner; search; solana
KaelLim/JSONFile,255494,255494,0,255494.0,,,2023-11-14,1,7,False,False,https://github.com/KaelLim/JSONFile,
Ilikectrlmusic/auto_ip,239374,239374,0,239374.0,,,2024-11-09,1,6,False,False,https://github.com/Ilikectrlmusic/auto_ip,
frindler/repo-kavi,238001,158400,0,238001.0,,Divversion repo 'repo-kavi',2024-10-07,2,5,False,False,https://github.com/frindler/repo-kavi,
ScoreTVApp/livescoretvdata,234608,213521,0,234608.0,,,2024-06-12,1,11,False,False,https://github.com/ScoreTVApp/livescoretvdata,
Helikopter-Bojowy/Exp-na-helikopterze,220896,168529,7,231488.3,,Jak coś to bot do discorda jest,2021-03-27,1,12,False,False,https://github.com/Helikopter-Bojowy/Exp-na-helikopterze,
elmalba/data,227521,216072,0,227521.0,,,2024-03-29,1,8,False,False,https://github.com/elmalba/data,
Fuuhou/tes,227162,227156,0,227162.0,,,2024-08-18,1,7,False,False,https://github.com/Fuuhou/tes,
