repo_name,push_events,total_commits,total_stars,ghost_score,language,description,created_at,distinct_pushers,active_months,is_fork,has_license,html_url,topics
mad4j/pioveazagarolo,3382,2558,1,7088.3,JavaScript,Piove domani a Zagarolo?,2023-11-24,0,12,False,True,https://github.com/mad4j/pioveazagarolo,
lubosm/minedusk-uptime,3163,7880,1,6629.3,Markdown,Monitorovanie dostupnosti webových stránok v rezorte školstva SR,2022-01-15,0,12,False,True,https://github.com/lubosm/minedusk-uptime,status-page; upptime; uptime-monitor
ekenheim/home-ops-upgrade,2980,4128,1,6245.8,Go Template,,2023-12-25,0,12,False,True,https://github.com/ekenheim/home-ops-upgrade,
sheldonreimers/umusa-plumbing,3475,2894,2,5771.9,Python,Repository for all work related to Umusa Plumbing,2024-02-20,0,12,False,False,https://github.com/sheldonreimers/umusa-plumbing,
Left024/DrinkingData,3328,2713,2,5527.7,Python,个人饮水记录,2022-01-21,0,12,False,True,https://github.com/Left024/DrinkingData,
steffensbola/new-domains-daily,3119,2659,2,5180.5,TypeScript,New websites created on a daily basis,2022-08-08,0,12,False,False,https://github.com/steffensbola/new-domains-daily,
ModaOperandi/om,3036,7851,2,5042.7,TypeScript,Moda Operandi's design system expressed as React components.,2019-10-29,0,12,False,True,https://github.com/ModaOperandi/om,portal
51sec/up,3012,11082,2,5002.8,JSON,"📈 Uptime monitor and status page for 51sec, powered by @upptime",2022-07-02,0,12,False,True,https://github.com/51sec/up,status-page; upptime; uptime-monitor
qhy040404/github-stats,2950,2491,2,4899.8,Python,,2022-05-18,0,12,False,True,https://github.com/qhy040404/github-stats,
macbre/faroese-planet,2898,2437,2,4813.5,Python,RSS feeds agregator aka planet for Faroese blogs from around the world,2020-10-19,0,12,False,True,https://github.com/macbre/faroese-planet,blogs; faroese
MareMare/SpeedTestAnalysis,2818,2398,2,4680.6,Python,⚠️for personal use. This project analyzes internet speed test data and visualizes the results using Plotly.,2024-12-06,0,12,False,True,https://github.com/MareMare/SpeedTestAnalysis,plotly-python; python3
fluttercandies/.github,2983,2531,3,4267.7,,,2021-10-27,0,12,False,False,https://github.com/fluttercandies/.github,
DaSchTour/dasch-ng,3114,5175,4,4001.8,TypeScript,collection of reusable Angular libraries and TypeScript utilities for modern web development,2022-09-16,0,12,False,True,https://github.com/DaSchTour/dasch-ng,angular; rxjs; utils
Dynesshely/EverydayNews,2999,5671,5,3548.7,HTML,"A repo fetched most of news and infomation, where stored and organized them.",2023-10-16,0,12,False,False,https://github.com/Dynesshely/EverydayNews,crawler; data; fetcher; network; news
NodeBE4/hero,3432,2936,8,3432.0,HTML,纪念那些说真话的英雄,2020-08-28,0,12,False,True,https://github.com/NodeBE4/hero,
