repo_name,total_stars,repo_age_days,push_events,total_commits,active_months,active_weeks,pr_events,pr_reviews,issues_opened,issue_comments,project_activity_score,releases,tags_created,human_pushers,language,license,description,created_at,is_fork,has_readme,readme_length,has_tests,has_ci,has_docs,release_count_api,commit_message_diversity,quality_score,ghost_score,combined_score,html_url,topics,languages_breakdown
InseeFr/Drama-Queen,1,1085,805,1918,15,66,162,0,0,0,0,0,0,5,TypeScript,MIT,,2023-04-11,False,True,2151,True,True,False,5,0.667,8.67,1687.2,4335.0,https://github.com/InseeFr/Drama-Queen,,TypeScript:468949; MDX:34085; JavaScript:5266; CSS:1545; HTML:885; Dockerfile:564
MGM12-de/handball-season-checks,0,742,542,709,15,65,288,0,0,0,0,0,0,1,TypeScript,MIT,Handball season checks,2024-03-19,False,True,1964,True,True,False,5,0.65,8.63,542.0,4315.0,https://github.com/MGM12-de/handball-season-checks,handball; handball4all; handballnet,TypeScript:85680; Vue:60681; Nix:1386; JavaScript:88; CSS:42
graasp/graasp-library,1,2170,1029,1207,15,66,155,0,0,0,0,0,0,3,TypeScript,AGPL-3.0,Discover collections of online educational resources.,2020-04-21,False,True,3748,True,True,True,5,0.617,8.62,2156.7,4310.0,https://github.com/graasp/graasp-library,,TypeScript:771739; JavaScript:4590; Dockerfile:1881; Shell:1655
pulibrary/imagecat-rails,0,1181,380,322,15,66,73,0,0,0,0,0,0,4,Ruby,Apache-2.0,A rewrite of a imagecat.princeton.edu ,2023-01-05,False,True,5831,True,True,True,5,0.617,8.62,380.0,4310.0,https://github.com/pulibrary/imagecat-rails,,Ruby:77068; HTML:32178; Dockerfile:4037; Shell:3489; HCL:3197; CSS:2998; JavaScript:1710; TypeScript:273
s-hirano-ist/s-private,1,744,1881,4217,15,66,1218,0,0,0,0,0,0,1,TypeScript,AGPL-3.0,Contents dumper and viewer for s-hirano-ist,2024-03-17,False,True,23741,True,True,True,5,0.583,8.58,3942.4,4290.0,https://github.com/s-hirano-ist/s-private,,TypeScript:966724; JavaScript:108296; Shell:33315; HCL:8615; PLpgSQL:3011; Smarty:2307; CSS:1750
Japan7/karaberus,1,793,1181,1829,15,65,131,0,0,0,0,0,0,4,Go,AGPL-3.0,A karaoke file management app ,2024-01-28,False,True,4506,True,True,True,5,0.583,8.58,2475.3,4290.0,https://github.com/Japan7/karaberus,,Go:177436; TypeScript:106487; Python:21382; Meson:18979; Rust:10751; C:4242; Shell:1370; JavaScript:997; CSS:442; HTML:409; Dockerfile:375
7rikazhexde/json2vars-setter,1,527,574,971,15,67,512,0,0,0,0,0,0,1,Python,MIT,"JSON to Variables Setter (json2vars-setter) is a GitHub Action designed to parse a JSON file and set the resulting variables (such as operating systems, Python versions, and GitHub Pages branch) as ou",2024-10-20,False,True,6652,True,True,True,5,0.483,8.48,1203.0,4240.0,https://github.com/7rikazhexde/json2vars-setter,github-actions; json-parser,Python:302091; Shell:8589; HTML:5259; Mermaid:882
burtek/eslint-config,0,2208,918,1117,15,66,436,0,0,0,0,0,0,2,JavaScript,MIT,Repository with collection of my custom eslint configs,2020-03-14,False,True,6043,True,True,True,5,0.6,8.27,918.0,4135.0,https://github.com/burtek/eslint-config,,JavaScript:42329; TypeScript:5302
RJ-SMTR/api-cct,0,1015,642,1705,15,67,434,0,0,0,0,0,0,5,TypeScript,MIT,api,2023-06-20,False,True,4269,True,True,True,3,0.617,8.22,642.0,4110.0,https://github.com/RJ-SMTR/api-cct,,TypeScript:1907494; Shell:17258; Handlebars:8966; EJS:2335; Dockerfile:1534; JavaScript:950; Procfile:92
GemeenteNijmegen/yivi-issue-server,0,1099,626,1326,15,66,633,0,0,0,0,0,0,4,TypeScript,EUPL-1.2,Infrastucture as Code for hosting our Yivi issue server,2023-03-28,False,True,1577,True,True,True,5,0.317,8.11,626.0,4055.0,https://github.com/GemeenteNijmegen/yivi-issue-server,,TypeScript:45854; Dockerfile:826; JavaScript:680; Shell:563
matthewdtowles/i-want-my-mtg,1,732,543,287,15,65,111,0,0,0,0,0,0,1,TypeScript,,I Want My MTG: Inventory and Transaction Tracking Web App,2024-03-29,False,True,9790,True,True,False,5,0.883,7.88,1138.1,3940.0,https://github.com/matthewdtowles/i-want-my-mtg,,TypeScript:1110593; JavaScript:289624; Handlebars:181105; CSS:170547; Shell:21928; Dockerfile:584; PLpgSQL:389
marvin-j97/lemna,0,1847,267,196,15,65,36,0,0,0,0,0,0,1,TypeScript,MIT,⚡ Quickly scaffold and deploy AWS Lambda handlers powered by Typescript,2021-03-10,False,True,1153,True,True,True,5,0.6,7.84,267.0,3920.0,https://github.com/marvin-j97/lemna,aws; aws-lambda; esbuild; lambda; nodejs; serverless; typescript,TypeScript:50153; JavaScript:312
