repo_name,push_events,total_commits,avg_commits_per_push,max_commits_in_single_push,distinct_pushers,active_months,stars_gained_2025,forks_gained_2025,first_push_in_period,last_push_in_period
freefastconnect/fastconnect,3820044,3820043,1,1,1,8,1,0,2025-01-01 00:00:04 UTC,2025-08-13 17:10:18 UTC
adi224foreverg/globaldl,2654153,2654152,1,1,1,8,1,0,2025-01-01 00:01:13 UTC,2025-08-13 17:10:27 UTC
freeukapp/uk,2049831,1863586,0.9,1,1,12,0,1,2025-01-16 08:06:45 UTC,2025-12-31 23:55:09 UTC
brand22/d3,1982349,1982345,1,1,2,8,0,0,2025-01-01 00:45:04 UTC,2025-08-13 17:10:22 UTC
kpnsec/iplist,1650819,1378537,0.8,1,1,12,1,0,2025-01-01 00:01:13 UTC,2025-12-31 23:58:07 UTC
waqar0345/Sid,1201933,1002611,0.8,1,1,12,0,0,2025-01-01 00:01:21 UTC,2025-12-31 23:59:14 UTC
BurmeseTV/source,1119387,1119387,1,1,1,8,0,0,2025-01-01 00:00:05 UTC,2025-08-16 21:15:14 UTC
cdnjs/logs,1030448,1030447,1,1,2,9,3,1,2025-01-01 00:00:15 UTC,2025-09-30 11:00:26 UTC
anubiswb/api1,976103,976093,1,1,1,6,0,0,2025-02-19 14:39:44 UTC,2025-07-09 09:52:03 UTC
frdpzk3/ppub,960682,960682,1,1,1,4,0,0,2025-01-01 00:00:01 UTC,2025-04-28 07:40:47 UTC
tigerbeetle/devhubdb,851171,582890,0.7,1,4,12,2,1,2025-01-01 00:07:51 UTC,2025-12-31 23:59:37 UTC
Risk-DAO/simulation-results,712120,680742,1,1,1,12,0,0,2025-01-01 00:01:12 UTC,2025-12-31 23:56:54 UTC
sidarthus89/EVE-Data-Site,653020,181210,0.3,2,1,4,0,0,2025-09-06 04:25:08 UTC,2025-12-31 23:51:56 UTC
sidarthus89/EVE-Data-Site-Dev,643623,178098,0.3,1,1,4,0,0,2025-09-06 19:49:38 UTC,2025-12-31 23:51:56 UTC
imyhacker/hijaw,635225,625668,1,6,1,10,0,0,2025-01-01 00:00:11 UTC,2025-10-23 14:04:39 UTC
HughODwyer90/hugh.casa,617574,551385,0.9,1,1,12,0,0,2025-01-06 10:46:22 UTC,2025-12-13 21:00:50 UTC
