repo_name,push_events,total_commits,avg_commits_per_push,active_months,active_weeks,stars_period,forks_period,issue_events,pr_events,workflow_events,release_events,branch_tag_creates,human_pushers,first_seen,last_seen
openshift/microshift,1717,3656,2.1,15,67,74,17,18,3636,17663,35,731,3,2025-01-01 04:31:47.000000 UTC,2026-03-30 22:56:53.000000 UTC
fedora-llvm-team/llvm-snapshots,617,984,1.6,15,67,4,1,3767,472,12671,0,176,5,2025-01-01 01:52:04.000000 UTC,2026-03-30 10:27:57.000000 UTC
Aurorastation/Aurora.3,1089,1552,1.4,15,67,14,35,1077,2140,8824,0,897,5,2025-01-01 00:50:02.000000 UTC,2026-03-30 21:27:41.000000 UTC
packit/hello-world,1632,1155,0.7,15,67,0,1,17,1125,8645,0,655,1,2025-01-01 04:00:46.000000 UTC,2026-03-30 04:30:54.000000 UTC
gardener/ci-infra,1980,4020,2.0,15,67,0,5,21,3915,8338,0,911,2,2025-01-01 00:01:43.000000 UTC,2026-03-30 14:17:15.000000 UTC
jauderho/dockerfiles,1848,2444,1.3,15,67,31,4,6,3718,8198,0,1588,1,2025-01-01 16:32:09.000000 UTC,2026-03-30 20:54:54.000000 UTC
shiptest-ss13/Shiptest,2054,1944,0.9,15,67,14,54,360,2782,8101,0,2219,4,2025-01-01 01:44:28.000000 UTC,2026-03-30 23:08:35.000000 UTC
51Degrees/device-detection-java,4185,4114,1.0,15,67,0,0,26,328,8081,149,316,4,2025-01-01 00:23:35.000000 UTC,2026-03-30 04:50:47.000000 UTC
openshift/cluster-kube-descheduler-operator,2063,6580,3.2,15,67,6,8,9,3070,7664,0,493,2,2025-01-04 08:51:38.000000 UTC,2026-03-30 14:50:42.000000 UTC
SwiftPackageIndex/PackageList,1545,2673,1.7,15,67,37,12,2346,2532,7493,0,1375,2,2025-01-01 06:18:32.000000 UTC,2026-03-30 21:18:39.000000 UTC
BSData/wh40k-10e,807,819,1.0,15,67,72,51,4977,55,6767,26,42,5,2025-01-01 01:26:09.000000 UTC,2026-03-29 18:35:15.000000 UTC
rwlove/home-ops,4637,3362,0.7,15,67,6,0,63,4093,6488,11,1996,1,2025-01-01 00:29:04.000000 UTC,2026-03-30 22:17:27.000000 UTC
openshift-kni/oran-o2ims,1466,2282,1.6,15,67,3,3,8,2141,6366,0,183,4,2025-01-02 13:08:11.000000 UTC,2026-03-30 23:57:28.000000 UTC
suzuki-shunsuke/tfaction,3667,2471,0.7,15,67,64,6,61,3363,6255,26,2832,1,2025-01-02 00:02:57.000000 UTC,2026-03-30 21:13:23.000000 UTC
RalphHightower/blog,3105,2656,0.9,15,67,2,1,1012,3478,5796,5,1307,1,2025-01-01 00:57:05.000000 UTC,2026-03-30 20:10:45.000000 UTC
Sharly-Chess/sharly-chess,3748,6292,1.7,15,67,9,8,288,1764,5792,59,1149,4,2025-01-02 22:15:33.000000 UTC,2026-03-30 12:20:55.000000 UTC
regro/cf-scripts,1399,2057,1.5,15,67,19,11,764,1968,5242,913,2347,4,2025-01-01 14:36:57.000000 UTC,2026-03-30 20:10:50.000000 UTC
rodent1/home-ops,2176,3718,1.7,15,67,3,0,5,3114,5162,3,1455,1,2025-01-01 00:28:14.000000 UTC,2026-03-30 20:37:49.000000 UTC
2digits-agency/configs,3022,7361,2.4,15,67,2,0,11,2070,5154,217,1352,2,2025-01-03 18:08:34.000000 UTC,2026-03-30 21:25:21.000000 UTC
bancey/lab-ops,1415,1686,1.2,15,67,1,0,19,1697,5115,0,402,2,2025-01-04 12:42:06.000000 UTC,2026-03-30 20:24:11.000000 UTC
marcusrbrown/gpt,2795,3546,1.3,15,67,0,0,51,3625,5063,0,1155,2,2025-01-01 07:09:01.000000 UTC,2026-03-30 09:05:58.000000 UTC
ishioni/homelab-ops,2463,2060,0.8,15,67,26,0,5,2632,4921,0,1441,1,2025-01-01 00:06:36.000000 UTC,2026-03-30 21:03:12.000000 UTC
sourcemeta/core,4092,3120,0.8,15,67,7,3,94,834,4895,0,447,2,2025-01-01 14:01:47.000000 UTC,2026-03-30 21:06:27.000000 UTC
bfra-me/renovate-action,4733,6063,1.3,15,67,0,0,21,4611,4731,378,2270,2,2025-01-01 03:31:33.000000 UTC,2026-03-30 08:14:21.000000 UTC
mP1/walkingkooka-spreadsheet,2064,3066,1.5,15,67,1,0,558,3804,4610,0,2092,1,2025-01-03 13:26:38.000000 UTC,2026-03-30 05:04:39.000000 UTC
cdk8s-team/cdk8s-plus,1387,1089,0.8,15,67,15,6,6,2828,4562,129,1402,4,2025-01-01 09:01:38.000000 UTC,2026-03-30 15:33:33.000000 UTC
ahinko/home-ops,1891,2735,1.4,15,67,75,2,42,2920,4324,0,1442,1,2025-01-01 09:05:13.000000 UTC,2026-03-30 22:03:32.000000 UTC
SAP/ui5-webcomponents-react,3049,4293,1.4,15,67,58,7,591,1252,4276,29,908,2,2025-01-01 03:27:49.000000 UTC,2026-03-30 14:51:47.000000 UTC
binaryn3xus/HomeOps,2909,6106,2.1,15,67,2,0,42,2717,4202,35,1183,1,2025-01-01 00:32:33.000000 UTC,2026-03-30 21:21:15.000000 UTC
kubernetes-sigs/krew-index,589,364,0.6,15,67,24,50,6,2070,3989,0,3,1,2025-01-01 06:40:31.000000 UTC,2026-03-30 15:46:17.000000 UTC
