repo_name,push_events,total_commits,active_months,active_weeks,stars_2025,issue_events,pr_events,human_pushers,first_seen,last_seen
musaibasrar/Curium,3483,3147,12,53,17,430,700,4,2025-01-01 03:58:18.000000 UTC,2025-12-31 13:18:20.000000 UTC
sheldonreimers/umusa-plumbing,3475,2894,12,53,0,0,1,1,2025-01-01 04:25:44.000000 UTC,2025-12-31 18:09:17.000000 UTC
openshift-kni/cnf-features-deploy,3460,7440,12,53,3,7606,3231,2,2025-01-01 12:54:27.000000 UTC,2025-12-28 13:33:54.000000 UTC
NodeBE4/hero,3432,2936,12,53,0,1,0,1,2025-01-01 00:01:46.000000 UTC,2025-12-31 20:02:23.000000 UTC
ingadhoc/odoo-argentina-ee,3424,2441,12,53,6,502,510,5,2025-01-01 15:48:51.000000 UTC,2025-12-31 14:53:40.000000 UTC
DoveBoy/Apps,3418,4748,12,53,6,30,0,1,2025-01-01 00:57:57.000000 UTC,2025-12-31 23:25:34.000000 UTC
clarkzjw/starlink-geoip-data,3415,3047,12,53,21,2,5,1,2025-01-01 00:07:58.000000 UTC,2025-12-31 22:21:54.000000 UTC
Azathothas/Wordlists,3412,2585,12,53,15,4,5,1,2025-01-01 01:25:23.000000 UTC,2025-12-31 23:45:45.000000 UTC
OpenIndiana/oi-userland,3408,2825,12,53,16,498,6560,2,2025-01-01 00:34:31.000000 UTC,2025-12-31 10:22:35.000000 UTC
FlorisFeddema/homelab,3400,6644,12,53,3,2425,1310,1,2025-01-02 07:23:29.000000 UTC,2025-12-31 13:58:36.000000 UTC
ingadhoc/account-financial-tools,3393,2289,12,53,16,447,387,5,2025-01-01 08:18:28.000000 UTC,2025-12-31 13:55:27.000000 UTC
mad4j/pioveazagarolo,3382,2558,12,53,1,174,154,2,2025-01-01 04:14:22.000000 UTC,2025-12-31 23:07:45.000000 UTC
Sharly-Chess/sharly-chess,3371,6292,12,53,8,651,3578,4,2025-01-02 22:15:33.000000 UTC,2025-12-31 15:56:17.000000 UTC
ghostnetrn/bot-tesouro-direto,3356,3266,12,53,5,6,30,2,2025-01-01 11:13:53.000000 UTC,2025-12-31 10:23:44.000000 UTC
cofob/fastside,3355,2799,12,53,19,10,9,1,2025-01-01 00:23:59.000000 UTC,2025-12-31 20:20:21.000000 UTC
renovatebot/renovatebot.github.io,3341,3355,12,53,11,150,464,2,2025-01-01 01:05:06.000000 UTC,2025-12-31 14:28:20.000000 UTC
Left024/DrinkingData,3328,2713,12,53,0,247,0,1,2025-01-01 02:20:50.000000 UTC,2025-12-31 23:30:12.000000 UTC
terorero/monitor,3325,6232,12,53,0,2964,0,1,2025-01-01 01:22:11.000000 UTC,2025-12-31 16:16:47.000000 UTC
mozilla-l10n/www-l10n,3304,2915,12,53,0,16,210,5,2025-01-01 01:43:19.000000 UTC,2025-12-30 20:02:21.000000 UTC
yoyobabycool/python-github-action-twitter-bot,3302,2836,12,53,5,0,1,1,2025-01-01 01:26:14.000000 UTC,2025-12-31 22:13:34.000000 UTC
Project-Pandora-Game/pandora,3295,6760,12,53,2,83,460,4,2025-01-01 21:31:47.000000 UTC,2025-12-31 17:04:53.000000 UTC
ctu-mrs/ppa-unstable,3263,2747,12,53,0,0,2,3,2025-01-01 00:40:42.000000 UTC,2025-12-31 22:26:22.000000 UTC
